Assignement,Charge,Elemental composition,Mass
a3,2-,C36H45N13O15P2S2,511.596461
z3,2-,C36H45N13O15P2S2,511.596461
x9,6-,C96H120N38O45P9S9,514.215969
a11,7-,C116H147N39O56P10S10,514.913254
z14,9-,C148H187N52O71P13S13,515.276934
a14,9-,C148H187N52O71P13S13,515.276934
w9,6-,C96H121N38O46P9S9,517.049759
y14,9-,C148H187N52O72P13S13,517.054147
b14,9-,C148H187N52O72P13S13,517.054147
b11,7-,C116H147N39O57P10S10,517.198242
z11,7-,C116H147N43O54P10S10,518.345035
c6,4-,C66H85N20O34P6S6,518.799899
y3,2-,C36H45N13O16P2S2,519.593918
b3,2-,C36H45N13O16P2S2,519.593918
y11,7-,C116H147N43O55P10S10,520.630023
d6,4-,C66H86N20O35P6S6,523.050584
a8,5-,C86H110N27O42P7S7,525.662923
x14,9-,C148H187N52O73P14S14,525.825341
c14,9-,C148H187N52O73P14S14,525.825341
x6,4-,C66H83N26O31P6S6,527.304412
d14,9-,C148H188N52O74P14S14,527.714535
w14,9-,C148H188N52O74P14S14,527.714535
c11,7-,C116H147N39O58P11S11,528.475492
b8,5-,C86H110N27O43P7S7,528.861906
d11,7-,C116H148N39O59P11S11,530.904455
w6,4-,C66H84N26O32P6S6,531.555097
x11,7-,C116H147N43O56P11S11,531.907273
z8,5-,C86H108N33O39P7S7,532.466533
a13,8-,C136H173N47O66P12S12,533.431795
z13,8-,C136H173N47O66P12S12,533.431795
w11,7-,C116H148N43O57P11S11,534.336236
y13,8-,C136H173N47O67P12S12,535.431159
b13,8-,C136H173N47O67P12S12,535.431159
y8,5-,C86H108N33O40P7S7,535.665516
c8,5-,C86H110N27O44P8S8,544.650056
x13,8-,C136H173N47O68P13S13,545.298753
c13,8-,C136H173N47O68P13S13,545.298753
a10,6-,C106H135N34O52P9S9,546.060883
d13,8-,C136H174N47O69P13S13,547.424095
w13,8-,C136H174N47O69P13S13,547.424095
d8,5-,C86H111N27O45P8S8,548.050603
b10,6-,C106H135N34O53P9S9,548.726702
x8,5-,C86H108N33O41P8S8,551.453666
z10,6-,C106H133N40O49P9S9,551.730558
a5,3-,C56H71N17O27P4S4,554.077344
y10,6-,C106H133N40O50P9S9,554.396377
w8,5-,C86H109N33O42P8S8,554.854213
z15,9-,C160H203N55O77P14S14,555.393573
y15,9-,C160H203N55O78P14S14,557.170785
a15,9-,C160H201N57O77P14S14,558.281406
c3,2-,C36H45N13O17P3S3,559.064292
x3,2-,C36H45N13O17P3S3,559.064292
b5,3-,C56H71N17O28P4S4,559.408983
b15,9-,C160H201N57O78P14S14,560.058618
c10,6-,C106H135N34O54P10S10,561.883493
z5,3-,C56H71N21O25P4S4,562.084833
z12,7-,C126H160N45O60P11S11,564.062635
a12,7-,C126H159N44O61P11S11,564.203208
d10,6-,C106H136N34O55P10S10,564.717283
x15,9-,C160H203N55O79P15S15,565.94198
y12,7-,C126H160N45O61P11S11,566.347622
b12,7-,C126H159N44O62P11S11,566.488196
y5,3-,C56H71N21O26P4S4,567.416472
x10,6-,C106H133N40O51P10S10,567.553168
w3,2-,C36H46N13O18P3S3,567.565662
d3,2-,C36H46N13O18P3S3,567.565662
w15,9-,C160H204N55O80P15S15,567.831173
c15,9-,C160H201N57O79P15S15,568.829813
w10,6-,C106H134N40O52P10S10,570.386958
d15,9-,C160H202N57O80P15S15,570.719006
a7,4-,C76H98N22O38P6S6,575.071782
x12,7-,C126H160N45O62P12S12,577.624872
c12,7-,C126H159N44O63P12S12,577.765446
b7,4-,C76H98N22O39P6S6,579.070511
z14,8-,C148H187N52O71P13S13,579.812461
a14,8-,C148H187N52O71P13S13,579.812461
w12,7-,C126H161N45O63P12S12,580.053835
d12,7-,C126H160N44O64P12S12,580.194408
b14,8-,C148H187N52O72P13S13,581.811825
y14,8-,C148H187N52O72P13S13,581.811825
z7,4-,C76H96N28O35P6S6,583.576295
c5,3-,C56H71N17O29P5S5,585.722565
y7,4-,C76H96N28O36P6S6,587.575024
d5,3-,C56H72N17O30P5S5,591.390145
a9,5-,C96H122N32O46P8S8,591.469875
x14,8-,C148H187N52O73P14S14,591.679419
c14,8-,C148H187N52O73P14S14,591.679419
x5,3-,C56H71N21O27P5S5,593.730054
d14,8-,C148H188N52O74P14S14,593.804761
w14,8-,C148H188N52O74P14S14,593.804761
b9,5-,C96H122N32O47P8S8,594.668858
z9,5-,C96H120N38O43P8S8,598.273485
c7,4-,C76H98N22O40P7S7,598.805698
w5,3-,C56H72N21O28P5S5,599.397634
a11,6-,C116H147N39O56P10S10,600.90001
y9,5-,C96H120N38O44P8S8,601.472468
d7,4-,C76H99N22O41P7S7,603.056383
b11,6-,C116H147N39O57P10S10,603.565829
z11,6-,C116H147N43O54P10S10,604.903754
x7,4-,C76H96N28O37P7S7,607.310211
y11,6-,C116H147N43O55P10S10,607.569573
a13,7-,C136H173N47O66P12S12,609.780234
z13,7-,C136H173N47O66P12S12,609.780234
c9,5-,C96H122N32O48P9S9,610.457008
w7,4-,C76H97N28O38P7S7,611.560895
y13,7-,C136H173N47O67P12S12,612.065222
b13,7-,C136H173N47O67P12S12,612.065222
d9,5-,C96H123N32O49P9S9,613.857556
c11,6-,C116H147N39O58P11S11,616.72262
x9,5-,C96H120N38O45P9S9,617.260618
d11,6-,C116H148N39O59P11S11,619.55641
w9,5-,C96H121N38O46P9S9,620.661166
x11,6-,C116H147N43O56P11S11,620.726364
x13,7-,C136H173N47O68P13S13,623.342471
c13,7-,C136H173N47O68P13S13,623.342471
w11,6-,C116H148N43O57P11S11,623.560154
z15,8-,C160H203N55O77P14S14,624.943679
d13,7-,C136H174N47O69P13S13,625.771434
w13,7-,C136H174N47O69P13S13,625.771434
y15,8-,C160H203N55O78P14S14,626.943043
a15,8-,C160H201N57O77P14S14,628.192491
b15,8-,C160H201N57O78P14S14,630.191855
x15,8-,C160H203N55O79P15S15,636.810637
w15,8-,C160H204N55O80P15S15,638.935979
c15,8-,C160H201N57O79P15S15,640.059449
d15,8-,C160H202N57O80P15S15,642.184791
z2,1-,C24H31N8O10P1S1,653.154871
a2,1-,C24H31N8O10P1S1,653.154871
a10,5-,C106H135N34O52P9S9,655.474514
a8,4-,C86H110N27O42P7S7,657.330473
z12,6-,C126H160N45O60P11S11,658.240953
a12,6-,C126H159N44O61P11S11,658.404956
b10,5-,C106H135N34O53P9S9,658.673497
a6,3-,C66H85N20O32P5S5,660.423737
y12,6-,C126H160N45O61P11S11,660.906772
b12,6-,C126H159N44O62P11S11,661.070775
b8,4-,C86H110N27O43P7S7,661.329202
z10,5-,C106H133N40O49P9S9,662.278124
z14,7-,C148H187N52O71P13S13,662.786709
a14,7-,C148H187N52O71P13S13,662.786709
y14,7-,C148H187N52O72P13S13,665.071697
b14,7-,C148H187N52O72P13S13,665.071697
y10,5-,C106H133N40O50P9S9,665.477107
b6,3-,C66H85N20O33P5S5,665.755376
